,protein,iptg,operator,fx_saturation,fx_std_dev,genotype,observable
0,500.0,0.0,10.0,0.956769294030778,0.048489171343510065,IAk,operator
1,250.0,0.0,10.0,0.9245745520139024,0.03984592421517008,IAk,operator
2,90.0,0.0,10.0,0.8713363373248916,0.030125771116111533,IAk,operator
3,50.0,0.0,10.0,0.8519702252093103,0.07862079427242386,IAk,operator
4,20.0,0.0,10.0,0.7185763093551525,0.11891988543295504,IAk,operator
5,10.0,0.0,10.0,0.5181511693611904,0.19306280857141175,IAk,operator
6,0.0,0.0,10.0,0.0,0.0,IAk,operator
7,1000.0,0.0,10.0,0.9690400104481652,0.029079662533356143,IAk,operator
8,5.0,0.0,10.0,0.35271278953083907,0.028331235219329825,IAk,operator
9,2.0,0.0,10.0,0.08525187741155038,0.061463958054747296,IAk,operator
10,5000.0,100000.0,10.0,1.0468734015698653,0.06957182518929478,IAk,operator
11,1000.0,100000.0,10.0,0.9611963058374776,0.08178626061588264,IAk,operator
12,500.0,100000.0,10.0,0.9120360900109754,0.0688436564108197,IAk,operator
13,250.0,100000.0,10.0,0.8080355835844393,0.04590430267473538,IAk,operator
14,100.0,100000.0,10.0,0.7052402721373722,0.08270090618407103,IAk,operator
15,50.0,100000.0,10.0,0.540074527266683,0.14345012222340459,IAk,operator
16,0.0,100000.0,10.0,0.0,0.0,IAk,operator
17,8000.0,100000.0,10.0,1.0287724172599306,0.007463167048460728,IAk,operator
18,3000.0,100000.0,10.0,0.9536489410920045,0.016800693069771444,IAk,operator
19,20.0,100000.0,10.0,0.32078831887700454,0.09710072758561675,IAk,operator
20,5000.0,300000.0,10.0,1.033646126242346,0.06643627045931623,IAk,operator
21,1000.0,300000.0,10.0,0.9381087736720002,0.03702850967636877,IAk,operator
22,500.0,300000.0,10.0,0.9000404203418668,0.05295213294382584,IAk,operator
23,100.0,300000.0,10.0,0.7130751385414342,0.058664121637698144,IAk,operator
24,50.0,300000.0,10.0,0.5504258916733139,0.12274004247032248,IAk,operator
25,0.0,300000.0,10.0,0.0,0.0,IAk,operator
26,8000.0,300000.0,10.0,1.0509672229283125,0.02393005785950674,IAk,operator
27,3000.0,300000.0,10.0,1.0174188257983103,0.04485528549942497,IAk,operator
28,250.0,300000.0,10.0,0.7888620475236862,0.03665602224216165,IAk,operator
29,20.0,300000.0,10.0,0.33521207917832746,0.030179758795353086,IAk,operator
30,10.0,300000.0,10.0,0.1768623552150777,0.0,IAk,operator
31,8000.0,1000000.0,10.0,1.02649241761588,0.009013253087391895,IAk,operator
32,5000.0,1000000.0,10.0,1.0073066995162105,0.013784606526991655,IAk,operator
33,1000.0,1000000.0,10.0,0.8995841079141066,0.05037869715329805,IAk,operator
34,500.0,1000000.0,10.0,0.8252086843891802,0.06042535802531092,IAk,operator
35,100.0,1000000.0,10.0,0.6076450886631032,0.082109326941909,IAk,operator
36,50.0,1000000.0,10.0,0.4327892344992922,0.10723629661933719,IAk,operator
37,0.0,1000000.0,10.0,0.0,0.0,IAk,operator
38,3000.0,1000000.0,10.0,0.9224691505332145,0.02213362641270905,IAk,operator
39,20.0,1000000.0,10.0,0.24553329512166222,0.09944351992905595,IAk,operator
