,protein,iptg,operator,fx_saturation,fx_std_dev,genotype,observable
0,500.0,0.0,10.0,0.8810697745475232,0.06572657214976235,mAk,operator
1,250.0,0.0,10.0,0.8476431187205776,0.058604696730946405,mAk,operator
2,90.0,0.0,10.0,0.6615262107494838,0.16833506309967147,mAk,operator
3,50.0,0.0,10.0,0.4953285191815603,0.20378971492958303,mAk,operator
4,20.0,0.0,10.0,0.270089475591245,0.17687724221090007,mAk,operator
5,10.0,0.0,10.0,0.1615481272428029,0.08479330669793987,mAk,operator
6,0.0,0.0,10.0,0.0,0.0,mAk,operator
7,1000.0,0.0,10.0,0.9236510259875487,0.08886889047055227,mAk,operator
8,5000.0,100000.0,10.0,0.9455803390937753,0.3164488010210309,mAk,operator
9,1000.0,100000.0,10.0,0.5408731865320021,0.2066737087245555,mAk,operator
10,500.0,100000.0,10.0,0.35342529751131796,0.16765437565510186,mAk,operator
11,250.0,100000.0,10.0,0.22529716571444938,0.13578014944533268,mAk,operator
12,100.0,100000.0,10.0,0.146693124186632,0.15239428461566862,mAk,operator
13,50.0,100000.0,10.0,0.1018489354274954,0.13339310151036698,mAk,operator
14,0.0,100000.0,10.0,0.0,0.0,mAk,operator
15,8000.0,100000.0,10.0,0.9910722399125261,0.10309630411978517,mAk,operator
16,5000.0,300000.0,10.0,0.8340867194562218,0.061762500127689475,mAk,operator
17,1000.0,300000.0,10.0,0.538109500662354,0.20597931324830251,mAk,operator
18,500.0,300000.0,10.0,0.2935894265134406,0.13333601478191667,mAk,operator
19,250.0,300000.0,10.0,0.21144391536281604,0.062386950987958226,mAk,operator
20,100.0,300000.0,10.0,0.1661653019273707,0.2031190766255932,mAk,operator
21,50.0,300000.0,10.0,0.09238436560326345,0.19293518383489422,mAk,operator
22,0.0,300000.0,10.0,0.0,0.0,mAk,operator
23,3000.0,300000.0,10.0,0.8808328174960663,0.4385977221282776,mAk,operator
24,8000.0,300000.0,10.0,1.0897241453367612,0.4506185029526587,mAk,operator
25,8000.0,1000000.0,10.0,0.8635923206777895,0.13226077827834093,mAk,operator
26,5000.0,1000000.0,10.0,0.816669109870346,0.13379172620889904,mAk,operator
27,1000.0,1000000.0,10.0,0.49382043409957,0.12916383141607155,mAk,operator
28,500.0,1000000.0,10.0,0.41136671241915285,0.15077765287681333,mAk,operator
29,100.0,1000000.0,10.0,0.11308275342121259,0.13828952704738942,mAk,operator
30,50.0,1000000.0,10.0,0.1425938324153733,0.14886939552507986,mAk,operator
31,0.0,1000000.0,10.0,0.0,0.0,mAk,operator
32,10000.0,1000000.0,10.0,0.9828431890728071,0.18960225005199927,mAk,operator
