,K_ratio,K_r_e,K_rstar_e
9293,0.2729422883657642,-11.40793480315588,-9.520739546979238
12184,-0.2982240804513515,-12.344866109140389,-10.575439339513702
19704,-0.2767144264201551,-10.705981135771276,-9.188909385075265
28572,-0.8171813997801411,-12.409655516724856,-10.899570221098946
30702,-0.1896760229271814,-12.03244223878523,-10.249667475089613
32281,-0.2009916066947649,-11.643577481316466,-9.89973657570409
45619,-0.1842115416550204,-12.178534752964412,-10.30820785753217
50665,-0.1124143770863481,-12.660193315056285,-10.569084238773772
67990,-0.3749329019999922,-12.162542451016709,-10.51154363202544
86318,0.0910423262151406,-11.307684082830852,-9.55012730449905
87523,-0.4842109607766005,-12.4753622570006,-10.610590769993657
