,protein,iptg,operator,fx_saturation,fx_std_dev,genotype,observable
0,500.0,0.0,10.0,0.9495310857333928,0.02025245410296208,IVHL,operator
1,250.0,0.0,10.0,0.9693423093604026,0.0,IVHL,operator
2,90.0,0.0,10.0,0.9437106210848916,0.023964246273450195,IVHL,operator
3,50.0,0.0,10.0,0.8985835563289973,0.023370260642350583,IVHL,operator
4,20.0,0.0,10.0,0.7234271899556624,0.0,IVHL,operator
5,10.0,0.0,10.0,0.6056938147385658,0.046941957998500095,IVHL,operator
6,0.0,0.0,10.0,0.0,0.0,IVHL,operator
7,5.0,0.0,10.0,0.38089638924271135,0.017919121141695717,IVHL,operator
8,2.0,0.0,10.0,0.1399013100968452,0.06542626787731766,IVHL,operator
9,5000.0,100000.0,10.0,1.0461592952159458,0.0,IVHL,operator
10,1000.0,100000.0,10.0,0.9762581108429899,0.0,IVHL,operator
11,500.0,100000.0,10.0,0.9339200417404122,0.02116183422879557,IVHL,operator
12,250.0,100000.0,10.0,0.9699055158067879,0.0,IVHL,operator
13,100.0,100000.0,10.0,0.8939234125821662,0.008537349094751664,IVHL,operator
14,50.0,100000.0,10.0,0.8538213741937088,0.023804396882247118,IVHL,operator
15,0.0,100000.0,10.0,0.0,0.0,IVHL,operator
16,10.0,100000.0,10.0,0.5579375127549129,0.03555433205228282,IVHL,operator
17,5.0,100000.0,10.0,0.37532546526937544,0.0026434234641307666,IVHL,operator
18,2.0,100000.0,10.0,0.14712373261764797,0.009124310789846428,IVHL,operator
19,5000.0,300000.0,10.0,0.9982345834991853,0.0,IVHL,operator
20,1000.0,300000.0,10.0,0.9565882065299529,0.0,IVHL,operator
21,500.0,300000.0,10.0,0.939979360158187,0.007689682647928751,IVHL,operator
22,250.0,300000.0,10.0,0.9484737941627945,0.0,IVHL,operator
23,100.0,300000.0,10.0,0.908915373456661,0.03474569009089152,IVHL,operator
24,50.0,300000.0,10.0,0.8832375615207196,0.05595353759482433,IVHL,operator
25,0.0,300000.0,10.0,0.0,0.0,IVHL,operator
26,10.0,300000.0,10.0,0.5921335354450888,0.010266046544548935,IVHL,operator
27,5.0,300000.0,10.0,0.3896343080567055,0.023559252425451115,IVHL,operator
28,2.0,300000.0,10.0,0.14912769396427525,0.01829141951994845,IVHL,operator
29,8000.0,1000000.0,10.0,1.092721031573925,0.0,IVHL,operator
30,5000.0,1000000.0,10.0,1.1008151749849244,0.0,IVHL,operator
31,1000.0,1000000.0,10.0,0.9826039111735071,0.0,IVHL,operator
32,500.0,1000000.0,10.0,0.980374874586406,0.01253182992550292,IVHL,operator
33,100.0,1000000.0,10.0,0.8875001046003448,0.040565994676662165,IVHL,operator
34,50.0,1000000.0,10.0,0.8641101965923449,0.019731973711066674,IVHL,operator
35,0.0,1000000.0,10.0,0.0,0.0,IVHL,operator
36,10.0,1000000.0,10.0,0.5425580494034701,0.0274678974578631,IVHL,operator
37,5.0,1000000.0,10.0,0.31721410677711814,0.028600338338058473,IVHL,operator
38,2.0,1000000.0,10.0,0.13648589691315774,0.023157886005354997,IVHL,operator
